date	AFG	ALB	DZA	AGO	ATG	ARG	ARM	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BTN	BOL	BIH	BWA	BRA	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	CAF	TCD	CHL	CHN	COL	COM	COD	COG	CRI	CIV	HRV	CYP	CZE	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FJI	FIN	FRA	GAB	GMB	GEO	DEU	GHA	GRC	GRD	GTM	GIN	GNB	GUY	HTI	HND	HKG	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KOR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LTU	LUX	MKD	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MRT	MUS	MEX	FSM	MDA	MNG	MNE	MAR	MOZ	MMR	NAM	NPL	NLD	NZL	NIC	NER	NGA	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	QAT	ROU	RUS	RWA	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SVK	SVN	SLB	ZAF	SSD	ESP	LKA	KNA	LCA	VCT	SDN	SUR	SWZ	SWE	CHE	SYR	TWN	TJK	TZA	THA	TLS	TGO	TON	TTO	TUN	TUR	TKM	TUV	UGA	UKR	ARE	GBR	USA	URY	UZB	VUT	VEN	VNM	YEM	ZMB	ZWE	WLD
1/1/1992		3.11	26.271	12.725	0.062	33.42	3.45	17.557	7.799	7.459	0.264	0.516	112.431	0.25	10.217	10.022	0.199	5.378	0.528	6.789		1.465	151.547	0.267	8.553	9.297	5.78	0.371	8.434	12.412	28.324	3.051	5.922	13.665	1171.71	35.53	0.457	42.39	2.371	3.191	12.157	4.73	0.621		5.162	0.512	0.071	7.375	10.912	53.508	5.51	0.4	3.427		50.096	0.744	5.029	57.111	0.99	0.98		80.975	15.046	10.35	0.097	9.334	6.734	1.059	0.739	7.376	5.181	5.929	10.374	0.26	881.875	185.378	61.56		3.555	5.124	56.773	2.399	124.392	3.844	17.048	23.37	0.074	43.748	1.42	4.43	4.498	2.677	2.822	1.689		4.46		0.392	1.933	12.264	10.4	19.068	0.228	8.323	0.36		2.108	1.084	90.137		4.4	2.161		24.999	14.35		1.455	19.051	15.184	3.552		8.035	95.725	4.299	1.979	114.075		2.581	4.181	4.461	22.597	63.82	38.386	9.974	0.49	23.333	148.6	6.656			0.121	16.948	7.991		0.071	4.032	3.231		2	0.33	38.65		39.069	16.631	0.042	0.138	0.106	27.32	0.419	0.908	8.692	6.843	13.484	20.803	5.536	26.337	57.789		3.823	0.096	1.237	8.49	54.547	3.861		18.8	51.87	2.011	57.585	256.777	3.131	21.36	0.154	20.347	68.45	13.289	8.134	10.41	5249.613
1/1/1993		3.095	26.894	13.107	0.063	33.917	3.37	17.719	7.883	7.487	0.269	0.53	114.898	0.25	10.24	10.068	0.205	5.582	0.519	6.983		1.506	153.986	0.274	8.463	9.552	5.77	0.38	8.697	12.787	28.651	3.125	6.064	13.908	1185.17	36.208	0.466	43.789	2.443	3.275	13.358	4.624	0.636		5.181	0.526	0.071	7.511	11.15	54.615	5.6	0.413	3.422	1.511	51.812	0.755	5.055	57.369	1.014	1.037		81.338	15.431	10.462	0.098	9.554	7.136	1.081	0.747	7.528	5.32	6.04	10.365	0.262	901	188.452	61		3.574	5.259	56.821	2.419	124.799	3.993	16.9	24.066	0.075	44.195	1.46	4.505	4.626	2.669	2.901	1.73		4.56		0.398	1.942	12.644	10.461	19.602	0.234	8.535	0.363		2.167	1.096	91.605		4.4	2.181		25.469	14.893		1.504	19.552	15.29	3.598		8.314	98.36	4.325	2.047	117.02		2.636	4.288	4.568	22.639	65.32	38.501	9.983	0.492	23.205	148.4	6.247			0.123	17.277	8.235		0.072	3.991	3.313	5.308	1.99	0.339	39.62		39.19	16.85	0.041	0.14	0.106	28.13	0.426	0.926	8.745	6.908	13.865	20.995	5.573	27.148	58.096		3.898	0.097	1.244	8.572	55.455	3.9		19.4	51.715	2.083	57.714	260.146	3.149	21.853	0.157	20.815	69.645	13.948	8.37	10.776	5336.242
1/1/1994		3.033	27.496	13.5	0.065	34.353	3.29	17.893	7.929	7.597	0.273	0.544	117.369	0.264	10.228	10.101	0.211	5.787	0.512	7.182		1.546	156.431	0.281	8.377	9.817	5.87	0.39	10.43	13.168	28.96	3.201	6.21	14.152	1198.50	36.863	0.476	45.234	2.516	3.373	13.758	4.524	0.65		5.197	0.541	0.071	7.642	11.38	55.746	5.68	0.428	3.426	1.477	53.531	0.766	5.078	57.565	1.039	1.073	4.93	81.539	15.825	10.572	0.099	9.779	7.514	1.103	0.764	7.691	5.457	6.162	10.35	0.265	919	191.578	61.891		3.586	5.395	56.842	2.44	125.142	4.139	15.8	24.783	0.077	44.642	1.5	4.525	4.751	2.627	2.975	1.767		4.65		0.404	1.952	13.04	10.533	20.142	0.24	8.759	0.366		2.228	1.111	93.059		3.609	2.202		25.926	15.453		1.549	20.065	15.383	3.648	4.557	8.605	101.068	4.348	2.112	119.99		2.691	4.401	4.675	22.989	66.84	38.581	9.999	0.495	23.064	148.5	5.79			0.125	17.701	8.476		0.074	3.952	3.419	5.338	1.99	0.349	40.56		39.296	17.098	0.041	0.143	0.106	28.95	0.431	0.944	8.816	6.969	14.241	21.178	5.607	27.959	58.797		3.983	0.097	1.25	8.786	56.382	4		20.1	51.3	2.23	57.862	263.325	3.179	22.282	0.164	21.283	70.825	14.6	8.625	11.147	5425.508
1/1/1995		3.037	28.06	13.905	0.067	34.779	3.22	18.12	7.944	7.726	0.279	0.559	119.87	0.264	10.177	10.131	0.217	5.986	0.509	7.387		1.586	158.875	0.287	8.297	10.09	5.98	0.399	10.769	13.537	29.263	3.276	6.596	14.395	1211.21	37.49	0.486	46.726	2.59	3.47	14.158	4.453	0.656	10.333	5.216	0.556	0.071	7.771	11.598	56.9	5.75	0.442	3.453	1.448	55.23	0.776	5.099	57.753	1.065	1.106	4.794	81.817	16.23	10.672	0.1	10.007	7.837	1.125	0.773	7.838	5.592	6.314	10.337	0.267	937	194.755	64.1		3.601	5.542	56.844	2.462	125.456	4.264	15.676	25.521	0.078	45.093	1.576	4.596	4.871	2.501	3.033	1.857		4.75		0.406	1.963	13.453	10.666	20.682	0.245	8.989	0.369		2.292	1.125	94.495	0.106	4.346	2.235		26.386	15.982		1.594	20.587	15.459	3.707	4.658	8.904	103.85	4.37	2.172	122.985		2.747	4.52	4.782	23.345	68.41	38.581	10.026	0.501	22.927	148.3	5.468			0.127	18.136	8.712		0.075	3.927	3.525	5.368	1.99	0.359	41.43		39.388	17.28	0.041	0.145	0.106	27.95	0.437	0.963	8.837	7.019	14.61	21.357	5.668	28.769	59.47		4.085	0.097	1.255	8.958	57.453	4.1		20.7	50.874	2.411	58.025	266.458	3.199	22.69	0.169	21.751	71.996	15.219	8.841	11.523	5515.798
1/1/1996		3.063	28.566	14.323	0.068	35.196	3.17	18.33	7.953	7.763	0.284	0.574	122.401	0.265	10.142	10.143	0.222	6.176	0.513	7.589	3.645	1.624	161.323	0.295	8.225	10.373	6.09	0.409	11.091	13.916	29.57	3.35	6.761	14.596	1223.89	38.1	0.497	47.912	2.59	3.565	14.56	4.494	0.666	10.321	5.251	0.571	0.071	7.897	11.798	58.2	5.81	0.456	3.507	1.425	56.898	0.785	5.117	57.936	1.092	1.139	4.675	82.012	16.644	10.758	0.101	10.238	8.095	1.148	0.778	7.987	5.724	6.467	10.321	0.268	955.063	197.004	62.509		3.626	5.682	56.844	2.485	125.751	4.383	15.481	26.281	0.079	45.525	1.7	4.661	4.987	2.47	3.071	1.842		4.84		0.412	1.977	13.883	10.876	21.223	0.25	9.222	0.371		2.358	1.138	95.881	0.106	4.332	2.267		26.848	16.463		1.643	21.115	15.53	3.762	4.752	9.215	106.709	4.393	2.225	126		2.804	4.64	4.888	23.706	70.01	38.609	10.064	0.512	22.8	148.3	5.406			0.13	18.581	8.94		0.076	3.92	3.671	5.379	1.987	0.369	42.2		39.479	17.49	0.041	0.147	0.106	28.6	0.442	0.985	8.844	7.062	14.973	21.525	5.735	29.58	60.077		4.209	0.097	1.258	9.089	58.533	4.2		21.4	50.4	2.443	58.164	269.581	3.219	23.13	0.173	22.219	73.157	15.796	9.073	11.905	5595.132
1/1/1997		3.088	29.045	14.752	0.07	35.604	3.14	18.51	7.965	7.838	0.288	0.589	124.945	0.266	10.093	10.17	0.23	6.361	0.521	7.827	3.756	1.661	163.78	0.302	8.162	10.665	6.19	0.418	11.396	14.305	29.868	3.425	6.932	14.796	1236.26	38.6	0.507	48.924	2.665	3.657	14.938	4.572	0.675	10.309	5.275	0.587	0.071	8.023	11.987	59.4	5.86	0.471	3.583	1.406	58.544	0.793	5.132	58.116	1.119	1.191	4.558	82.057	17.07	10.745	0.101	10.474	8.296	1.171	0.779	8.136	5.853	6.517	10.301	0.27	973.438	199.28	60.929		3.664	5.824	56.876	2.509	126.045	4.506	15.188	27.064	0.08	45.954	2.209	4.732	5.097	2.445	3.093	1.847		4.92		0.417	1.983	14.329	11.148	21.769	0.255	9.462	0.374	0.049	2.425	1.15	97.209	0.106	4.318	2.297		27.31	16.915		1.696	21.647	15.611	3.803	4.844	9.538	109.647	4.413	2.274	129.035		2.862	4.761	4.888	24.073	71.65	38.639	10.109	0.529	22.679	147.8	5.66			0.132	19.037	9.164	7.568	0.077	3.928	3.796	5.35	1.985	0.38	42.91		39.583	17.702	0.041	0.15	0.106	29.2	0.449	1.007	8.848	7.081	15.334	21.743	5.822	30.391	60.677		4.349	0.098	1.261	9.215	59.62	4.658		22.1	49.974	2.58	58.314	272.822	3.256	23.867	0.177	22.676	74.307	16.339	9.32	11.786	5678.505
1/1/1998		3.061	29.507	15.195	0.072	36.005	3.11	18.706	7.971	7.913	0.293	0.605	127.479	0.267	10.045	10.192	0.239	6.546	0.534	7.914	3.654	1.696	166.252	0.31	8.105	10.968	6.3	0.426	11.685	14.706	30.124	3.498	7.108	14.997	1247.61	39.2	0.518	49.902	2.742	3.747	15.326	4.501	0.683	10.299	5.295	0.604	0.071	8.152	12.168	60.7	5.9	0.487	3.683	1.393	60.179	0.801	5.147	58.299	1.147	1.225	4.505	82.037	17.506	10.808	0.101	10.716	8.457	1.194	0.777	8.286	5.98	6.583	10.28	0.272	992	201.581	61.842		3.703	5.967	56.904	2.534	126.354	4.623	14.955	27.87	0.082	46.287	2.271	4.806	5.201	2.421	3.114	1.851	2.704	5.01		0.422	1.993	14.79	11.458	22.334	0.261	9.712	0.377	0.05	2.495	1.162	98.49	0.107	3.656	2.328		27.775	17.351	45.296	1.75	22.175	15.707	3.829	4.932	9.871	112.665	4.441	2.318	132.085		2.921	4.883	4.888	24.445	75.16	38.66	10.16	0.55	22.565	147.5	6.176	0.173		0.135	19.504	9.388	7.568	0.079	3.962	3.927	5.358	1.978	0.39	43.56		39.722	17.935	0.04	0.152	0.106	29.8	0.454	1.029	8.854	7.096	15.702	21.929	5.939	31.201	61.277		4.5	0.098	1.263	9.333	62.464	4.483		22.8	49.545	2.834	58.475	276.022	3.274	24.231	0.182	23.13	75.456	16.863	9.577	11.756	5806.126
1/1/1999		3.1	29.965	15.651	0.074	36.399	3.09	18.919	7.983	8.016	0.298	0.712	129.967	0.267	10.019	10.214	0.243	6.74	0.549	8.001	3.725	1.728	168.754	0.317	8.067	11.282	6.3	0.434	11.96	15.117	30.367	3.57	7.29	15.197	1257.86	39.7	0.529	50.9	2.822	3.838	15.725	4.554	0.691	10.29	5.314	0.621	0.071	8.276	12.347	62	5.93	0.502	3.802	1.379	61.826	0.807	5.16	58.497	1.176	1.26	4.47	82.163	17.953	10.861	0.101	10.968	8.601	1.217	0.781	8.433	6.107	6.638	10.253	0.276	1010.19	203.909	62.817		3.742	6.117	56.909	2.559	126.594	4.738	14.902	28.7	0.083	46.617	2.255	4.875	5.298	2.399	3.157	1.856	2.909	5.09	3.429	0.427	2.002	15.263	11.774	22.91	0.266	9.977	0.379	0.051	2.568	1.174	99.711	0.107	3.65	2.359		28.238	17.798	45.874	1.805	22.69	15.812	3.851	5.017	10.177	115.766	4.473	2.361	135.125		2.98	5.006	4.888	24.823	76.78	38.667	10.218	0.572	22.458	146.9	6.843	0.174		0.137	19.983	9.619	7.54	0.08	4.03	3.959	5.369	1.978	0.401	44.2		39.927	18.208	0.042	0.154	0.106	30.4	0.461	1.048	8.861	7.124	16.091	22.092	6.127	32.012	61.849	0.823	4.651	0.099	1.265	9.456	63.364	4.564		23.5	49.115	3.033	58.684	279.195	3.289	24.583	0.187	23.593	76.597	17.39	9.839	11.724	5886.82
1/1/2000		3.058	30.506	16.12	0.076	36.784	3.08	19.141	8.002	8.139	0.303	0.638	132.383	0.269	9.99	10.239	0.25	6.949	0.564	8.275	3.781	1.758	173.448	0.325	8.15	11.608	6.426	0.442	12.223	15.541	30.647	3.638	7.478	15.398	1267.43	40.296	0.54	52.427	2.904	3.81	16.134	4.381	0.698	10.278	5.33	0.638	0.071	8.398	12.531	63.771	5.96	0.518	3.939	1.372	63.5	0.812	5.171	58.858	1.205	1.297	4.435	82.26	18.412	10.904	0.102	11.231	8.746	1.273	0.743	8.578	6.236	6.712	10.222	0.279	1029.19	206.265	63.862		3.79	6.286	56.924	2.582	126.829	4.857	14.866	29.494	0.084	47.008	2.217	4.922	5.388	2.382	3.235	1.861	3.065	5.18	3.405	0.434	2.01	15.745	12.07	23.495	0.27	10.261	0.38	0.051	2.643	1.186	100.9	0.107	3.644	2.391	0.612	28.466	18.276	46.379	1.828	23.184	15.926	3.873	5.098	10.493	118.953	4.501	2.402	137.53	0.019	3.041	5.13	5.346	25.207	76.79	38.263	10.29	0.594	22.435	146.3	7.495	0.175		0.139	20.474	9.862	7.516	0.081	4.14	4.028	5.377	1.988	0.412	44.85		40.264	18.467	0.044	0.156	0.106	31.1	0.467	1.064	8.883	7.164	16.511	22.277	6.25	32.822	62.321	0.897	4.794	0.099	1.268	9.553	64.269	4.643		24.3	48.664	2.995	58.886	282.296	3.301	24.908	0.191	24.06	77.635	17.937	10.101	11.693	5965.167
1/1/2001		3.068	30.954	16.604	0.077	37.156	3.06	19.386	8.021	8.234	0.307	0.661	134.73	0.27	9.957	10.263	0.257	7.175	0.581	8.248	3.798	1.784	175.885	0.333	7.891	11.946	6.75	0.451	12.473	15.976	30.972	3.704	7.665	15.572	1276.27	40.814	0.552	54	2.988	3.953	16.553	4.305	0.706	10.232	5.349	0.656	0.071	8.513	12.815	65.182	5.99	0.535	4.102	1.367	65.405	0.815	5.181	59.267	1.235	1.336	4.401	82.44	18.883	10.935	0.102	11.506	8.895	1.302	0.744	8.72	6.365	6.73	10.2	0.283	1048.00	209.206	64.584		3.847	6.436	56.961	2.605	127.17	4.978	14.851	30.309	0.086	47.357	2.309	4.968	5.47	2.353	3.358	1.865	3.161	5.26	3.388	0.44	2.016	16.236	12.343	24.123	0.276	10.563	0.391	0.051	2.72	1.197	102.127	0.107	3.635	2.425	0.615	28.833	18.786	46.801	1.83	23.655	16.046	3.916	5.174	11.06	122.228	4.519	2.443	140.36	0.019	3.102	5.256	5.456	25.597	78.59	38.254	10.363	0.612	22.408	145.2	8.013	0.176		0.142	20.976	10.119	7.503	0.081	4.296	4.138	5.379	1.99	0.424	45.51		40.721	18.732	0.046	0.158	0.106	31.9	0.474	1.075	8.909	7.198	16.961	22.406	6.376	33.633	62.908	0.909	4.926	0.1	1.272	9.651	65.166	4.72		25.1	48.241	3.167	59.113	285.216	3.308	25.211	0.195	24.541	78.686	18.506	10.362	11.663	6042.605
